Model,HitRate@10,MAP@10,MRR@10,NDCG@10,Coverage@10,Surprisal@10,fit_pred_time
ALS (Implicit),0.6856892010535558,0.17167204485442605,0.4192967236645901,0.2653717225076989,0.13281031101148782,0.16286640718370032,10.127572774887083
LightFM,0.6988586479367866,0.16732667541864726,0.4310485388185125,0.262776886723058,0.15130288596245448,0.1680661333998466,10.833091735839844
SLIM,0.66900790166813,0.17150928198808546,0.41874137714787396,0.2613702430094204,0.040347436256654524,0.12372774449611527,12.456170558929445
KNN,0.6549604916593503,0.16640668705293066,0.4086991513023121,0.2561736231499309,0.05575791538246008,0.13758441355623516,17.963558435440067
LightFM (item features),0.6909569798068481,0.15983098255886105,0.4122712766698718,0.2546729310170757,0.2317175679462034,0.1945973812418504,86.70429921150208
PopRec,0.6453028972783144,0.15719352873819514,0.390414175620497,0.24361407595404186,0.033903054076772215,0.11835448399506275,12.300273180007935
MultVAE,0.6400351185250219,0.1509694582642344,0.3957331688894464,0.2379545036546531,0.030820958251611092,0.12287514959010125,26.977434635162354
NeuroMF,0.6268656716417911,0.11059199218659267,0.3179111445573253,0.1931221654704358,0.2574950966657327,0.2354541569392521,350.73723125457764
ADMM SLIM,0.5908691834942933,0.08412080006131806,0.3035776997366112,0.15908638833838298,0.3667694031941721,0.2367673073504555,77.64739370346071
Word2Vec,0.5153643546971027,0.07221520697831371,0.2437598422453559,0.1376602498930395,0.14513869431213225,0.239778305777314,25.13349461555481
Wilson,0.4143985952589992,0.045002151358055666,0.18097572362278244,0.09212146931279057,0.017091622303166153,0.2621898407736796,10.033913373947145
RandomRec (popular-weighted),0.3819139596136962,0.028404339762438974,0.14163635603495128,0.06936885338518038,0.6539646959932754,0.3178561906262755,6.8270835876464835
RandomRec (uniform),0.18349429323968394,0.009075456053067995,0.06758295357944173,0.02555721475787373,0.960773325861586,0.5369303178698329,7.897582530975343
ALS (Explicit),0.09306409130816504,0.004738405312373706,0.032544211714536565,0.013043791985221941,0.26562062202297565,0.6843047218152364,13.875534296035767
